model,species_index,species_name,mean_total,std_total,cv_total,madydt_total,min,max,minmax_ratio,final_mean,final_std,final_cv,final_madydt,final_value,initial_mean,label
model_B5_I1FFL,1,Y1,1188.0638904893244,186.0290272255115,0.15658166931484815,0.6265374843741013,10.0,1249.9999974628495,0.008000000016238558,1249.9999957123264,1.2238325334686087e-06,9.790660301332188e-10,4.287312661745097e-08,1249.9999974628495,273.4827558714866,0
model_B5_I1FFL,2,Y2,2.2366749241032737,0.06568589865949345,0.029367655510243104,0.0009374904655712383,1.299694646075299,2.244827916458379,0.5789729522458108,2.2448279164431653,1.0635971763291785e-11,4.737989796625165e-12,3.72599724407508e-13,2.244827916458379,1.9469920167149306,1
model_B5_I1FFL,3,Y3,1061.990999157981,179.22621163779365,0.16876434148678876,0.5623047223830916,5.0,1122.4139555200502,0.004454684455241237,1122.4139536532907,1.3040828500068404e-06,1.161855521986557e-09,4.5679204822590766e-08,1122.4139555200502,189.45260867671163,0
model_B5_I1FFL,4,Y4,0.01816462617354195,0.12844941541513888,7.071404287700841,0.0011309354179589051,0.0024203677990303077,2.0,0.0012101839000145487,0.002420367809594701,7.380074340172116e-12,3.049154061571651e-09,2.5850803109673425e-13,0.0024203677990303077,0.6059136063829123,1
model_B5_I1FFL,5,Y5,8.740068063152966,20.83770550036858,2.3841582639631094,0.1130278010840396,1.2101843968517747,112.10575770855297,0.010795024462516385,1.2101847383033593,2.3801429985901712e-07,1.9667600517959674e-07,8.334448245552751e-09,1.2101843968517747,89.13254062439742,1
host_odes,0,iS,0.12880021687478502,4.070983464855224,31.6069612583128,0.09650356249343267,0.0,128.800216874785,7.763962082239013e-15,1.768759882413534e-51,3.256874401972026e-51,3.256874401972026e-39,2.929762778334399e-52,0.0,5.1520086749914,1
host_odes,1,ee,3349783.801178142,25212063.215268783,7.526474755296603,212931.69787287252,2.9973178922976096e-22,399857681.007136,2.5008898110472597e-21,1.9335264042235083e-21,1.602986692331014e-21,1.602986689231597e-09,6.058535853961754e-23,2.9973178922976096e-22,122119219.07136782,0
host_odes,2,mT,9.236828326332422,15.94164977155911,1.7258791880012325,0.03184857412333373,0.027679972804160912,41.354113435035025,0.000669340254353268,0.028265387837021146,0.00035119632418068047,0.012424960385941326,1.2159448235557408e-05,0.027679972804160912,26.088462680435853,1
host_odes,3,cT,39.26208758072097,8.688000177293768,0.22128217607969605,0.020710927928181317,14.345199394118,47.976514024430486,0.29900462102798614,40.34724696454765,0.0813038220785706,0.0020151020997791667,0.002814403745593909,40.21014929487769,16.248588686135683,1
host_odes,4,zT,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
